X,CH1,CH2,
Second,Volt,Volt,
-9.5200002e-01,2.48000e+00,1.19200e+00,
-9.4800001e-01,2.48000e+00,1.17600e+00,
-9.4400001e-01,2.48000e+00,1.19200e+00,
-9.4000000e-01,2.56000e+00,1.17600e+00,
-9.3599999e-01,2.48000e+00,1.19200e+00,
-9.3199998e-01,2.56000e+00,1.18400e+00,
-9.2799997e-01,2.48000e+00,1.18400e+00,
-9.2400002e-01,2.48000e+00,1.20800e+00,
-9.2000002e-01,2.48000e+00,1.19200e+00,
-9.1600001e-01,2.56000e+00,1.17600e+00,
-9.1200000e-01,2.48000e+00,1.19200e+00,
-9.0799999e-01,2.56000e+00,1.17600e+00,
-9.0399998e-01,2.48000e+00,1.19200e+00,
-8.9999998e-01,2.56000e+00,1.16800e+00,
-8.9599997e-01,2.48000e+00,1.18400e+00,
-8.9200002e-01,2.56000e+00,1.20800e+00,
-8.8800001e-01,2.48000e+00,1.18400e+00,
-8.8400000e-01,2.56000e+00,1.20800e+00,
-8.8000000e-01,2.48000e+00,1.19200e+00,
-8.7599999e-01,2.56000e+00,1.18400e+00,
-8.7199998e-01,2.56000e+00,1.18400e+00,
-8.6799997e-01,2.40000e+00,1.20000e+00,
-8.6400002e-01,2.48000e+00,1.18400e+00,
-8.6000001e-01,2.56000e+00,1.19200e+00,
-8.5600001e-01,2.48000e+00,1.19200e+00,
-8.5200000e-01,2.40000e+00,1.18400e+00,
-8.4799999e-01,2.48000e+00,1.20000e+00,
-8.4399998e-01,2.56000e+00,1.15200e+00,
-8.3999997e-01,2.48000e+00,1.19200e+00,
-8.3600003e-01,2.48000e+00,1.18400e+00,
-8.3200002e-01,2.48000e+00,1.18400e+00,
-8.2800001e-01,2.56000e+00,1.23200e+00,
-8.2400000e-01,2.48000e+00,1.17600e+00,
-8.1999999e-01,2.56000e+00,1.24000e+00,
-8.1599998e-01,2.48000e+00,1.19200e+00,
-8.1199998e-01,2.56000e+00,1.18400e+00,
-8.0799997e-01,2.48000e+00,1.18400e+00,
-8.0400002e-01,2.48000e+00,1.21600e+00,
-8.0000001e-01,2.48000e+00,1.18400e+00,
-7.9600000e-01,2.48000e+00,1.20000e+00,
-7.9200000e-01,2.48000e+00,1.19200e+00,
-7.8799999e-01,2.56000e+00,1.17600e+00,
-7.8399998e-01,2.48000e+00,1.19200e+00,
-7.7999997e-01,2.56000e+00,1.17600e+00,
-7.7600002e-01,2.48000e+00,1.19200e+00,
-7.7200001e-01,2.48000e+00,1.18400e+00,
-7.6800001e-01,2.48000e+00,1.19200e+00,
-7.6400000e-01,2.48000e+00,1.20000e+00,
-7.5999999e-01,2.56000e+00,1.17600e+00,
-7.5599998e-01,2.48000e+00,1.22400e+00,
-7.5199997e-01,2.48000e+00,1.19200e+00,
-7.4799997e-01,2.56000e+00,1.18400e+00,
-7.4400002e-01,2.48000e+00,1.19200e+00,
-7.4000001e-01,2.48000e+00,1.18400e+00,
-7.3600000e-01,2.48000e+00,1.15200e+00,
-7.3199999e-01,2.48000e+00,1.20800e+00,
-7.2799999e-01,2.48000e+00,1.18400e+00,
-7.2399998e-01,2.48000e+00,1.20000e+00,
-7.1999997e-01,2.48000e+00,1.19200e+00,
-7.1599996e-01,2.56000e+00,1.17600e+00,
-7.1200001e-01,2.48000e+00,1.19200e+00,
-7.0800000e-01,2.56000e+00,1.17600e+00,
-7.0400000e-01,2.48000e+00,1.18400e+00,
-6.9999999e-01,2.56000e+00,1.20800e+00,
-6.9599998e-01,2.48000e+00,1.19200e+00,
-6.9199997e-01,2.48000e+00,1.17600e+00,
-6.8799996e-01,2.48000e+00,1.19200e+00,
-6.8399996e-01,2.56000e+00,1.17600e+00,
-6.8000001e-01,2.48000e+00,1.19200e+00,
-6.7600000e-01,2.48000e+00,1.18400e+00,
-6.7199999e-01,2.48000e+00,1.19200e+00,
-6.6799998e-01,2.48000e+00,1.18400e+00,
-6.6399997e-01,2.48000e+00,1.18400e+00,
-6.5999997e-01,2.56000e+00,1.20000e+00,
-6.5599996e-01,2.48000e+00,1.19200e+00,
-6.5200001e-01,2.48000e+00,1.18400e+00,
-6.4800000e-01,2.48000e+00,1.18400e+00,
-6.4399999e-01,2.48000e+00,1.20800e+00,
-6.3999999e-01,2.48000e+00,1.19200e+00,
-6.3599998e-01,2.48000e+00,1.16800e+00,
-6.3199997e-01,2.48000e+00,1.19200e+00,
-6.2799996e-01,2.56000e+00,1.18400e+00,
-6.2399995e-01,2.48000e+00,1.18400e+00,
-6.2000000e-01,2.48000e+00,1.19200e+00,
-6.1600000e-01,2.48000e+00,1.19200e+00,
-6.1199999e-01,2.40000e+00,1.14400e+00,
-6.0799998e-01,2.48000e+00,1.19200e+00,
-6.0399997e-01,2.48000e+00,1.20800e+00,
-5.9999996e-01,2.48000e+00,1.17600e+00,
-5.9599996e-01,2.56000e+00,1.22400e+00,
-5.9199995e-01,2.48000e+00,1.17600e+00,
-5.8800000e-01,2.56000e+00,1.20800e+00,
-5.8399999e-01,2.48000e+00,1.20000e+00,
-5.7999998e-01,2.48000e+00,1.18400e+00,
-5.7599998e-01,2.48000e+00,1.18400e+00,
-5.7199997e-01,2.48000e+00,1.20000e+00,
-5.6799996e-01,2.48000e+00,1.18400e+00,
-5.6399995e-01,2.56000e+00,1.20000e+00,
-5.6000000e-01,2.48000e+00,1.19200e+00,
-5.5599999e-01,2.48000e+00,1.18400e+00,
-5.5199999e-01,2.48000e+00,1.19200e+00,
-5.4799998e-01,2.56000e+00,1.17600e+00,
-5.4399997e-01,2.48000e+00,1.19200e+00,
-5.3999996e-01,2.48000e+00,1.18400e+00,
-5.3599995e-01,2.48000e+00,1.20800e+00,
-5.3199995e-01,2.56000e+00,1.18400e+00,
-5.2800000e-01,2.48000e+00,1.19200e+00,
-5.2399999e-01,2.48000e+00,1.18400e+00,
-5.1999998e-01,2.48000e+00,1.20000e+00,
-5.1599997e-01,2.48000e+00,1.18400e+00,
-5.1199996e-01,2.48000e+00,1.20800e+00,
-5.0799996e-01,2.56000e+00,1.16800e+00,
-5.0399995e-01,2.48000e+00,1.19200e+00,
-5.0000000e-01,2.56000e+00,1.14400e+00,
-4.9599999e-01,2.48000e+00,1.18400e+00,
-4.9199998e-01,2.48000e+00,1.20800e+00,
-4.8799998e-01,2.48000e+00,1.18400e+00,
-4.8400000e-01,2.48000e+00,1.20000e+00,
-4.7999999e-01,2.48000e+00,1.19200e+00,
-4.7600001e-01,2.48000e+00,1.16800e+00,
