X,CH1,CH2,
Second,Volt,Volt,
-2.0000001e-02,-7.80000e-01,-4.00000e-02,
-1.6000001e-02,-8.20000e-01,0.00000e+00,
-1.2000001e-02,-9.20000e-01,0.00000e+00,
-8.0000004e-03,-9.20000e-01,0.00000e+00,
-4.0000002e-03,-8.40000e-01,0.00000e+00,
0.0000000e+00,-8.20000e-01,0.00000e+00,
4.0000002e-03,4.00000e-02,0.00000e+00,
8.0000004e-03,-2.80000e-01,0.00000e+00,
1.2000001e-02,-1.80000e-01,0.00000e+00,
1.6000001e-02,-1.40000e-01,0.00000e+00,
2.0000001e-02,-4.00000e-02,0.00000e+00,
2.4000002e-02,-6.00000e-02,0.00000e+00,
2.8000001e-02,2.00000e-02,0.00000e+00,
3.2000002e-02,-6.00000e-02,0.00000e+00,
3.6000002e-02,4.00000e-02,4.00000e-02,
4.0000003e-02,4.00000e-02,-4.00000e-02,
4.4000003e-02,1.40000e-01,0.00000e+00,
4.8000004e-02,1.40000e-01,4.00000e-02,
5.2000001e-02,2.80000e-01,-4.00000e-02,
5.6000002e-02,2.60000e-01,0.00000e+00,
6.0000002e-02,4.40000e-01,0.00000e+00,
6.4000003e-02,3.80000e-01,0.00000e+00,
6.8000004e-02,4.80000e-01,4.00000e-02,
7.2000004e-02,4.40000e-01,0.00000e+00,
7.6000005e-02,5.40000e-01,0.00000e+00,
8.0000006e-02,5.40000e-01,0.00000e+00,
8.4000006e-02,4.60000e-01,4.00000e-02,
8.8000007e-02,4.80000e-01,0.00000e+00,
9.2000008e-02,4.20000e-01,0.00000e+00,
9.6000008e-02,4.40000e-01,0.00000e+00,
1.0000000e-01,3.60000e-01,0.00000e+00,
1.0400000e-01,3.20000e-01,0.00000e+00,
1.0800000e-01,3.60000e-01,0.00000e+00,
1.1200000e-01,3.20000e-01,0.00000e+00,
1.1600000e-01,2.80000e-01,0.00000e+00,
1.2000000e-01,3.00000e-01,0.00000e+00,
1.2400001e-01,2.80000e-01,4.00000e-02,
1.2800001e-01,2.80000e-01,0.00000e+00,
1.3200000e-01,3.00000e-01,4.00000e-02,
1.3600001e-01,2.80000e-01,0.00000e+00,
1.4000000e-01,3.00000e-01,4.00000e-02,
1.4400001e-01,3.00000e-01,0.00000e+00,
1.4800000e-01,3.40000e-01,4.00000e-02,
1.5200001e-01,3.20000e-01,0.00000e+00,
1.5600000e-01,3.80000e-01,0.00000e+00,
1.6000001e-01,4.00000e-01,0.00000e+00,
1.6400000e-01,3.40000e-01,-4.00000e-02,
1.6800001e-01,3.60000e-01,0.00000e+00,
1.7200001e-01,4.60000e-01,0.00000e+00,
1.7600001e-01,5.20000e-01,0.00000e+00,
1.8000001e-01,4.20000e-01,0.00000e+00,
1.8400002e-01,4.20000e-01,0.00000e+00,
1.8800001e-01,6.00000e-01,4.00000e-02,
1.9200002e-01,5.80000e-01,0.00000e+00,
1.9600001e-01,5.00000e-01,0.00000e+00,
2.0000000e-01,6.20000e-01,0.00000e+00,
2.0400001e-01,5.00000e-01,0.00000e+00,
2.0800000e-01,5.40000e-01,0.00000e+00,
2.1200001e-01,4.40000e-01,0.00000e+00,
2.1600001e-01,5.00000e-01,0.00000e+00,
2.2000001e-01,3.80000e-01,0.00000e+00,
