X,CH1,
Second,Volt,
1.1000000e+00,-4.40000e-01,
1.1040001e+00,-4.40000e-01,
1.1080000e+00,-5.60000e-01,
1.1120000e+00,-6.00000e-01,
1.1160001e+00,-4.80000e-01,
1.1200000e+00,-4.40000e-01,
1.1240001e+00,-6.40000e-01,
1.1280000e+00,-7.60000e-01,
1.1320001e+00,-4.40000e-01,
1.1360000e+00,-5.60000e-01,
1.1400000e+00,-4.40000e-01,
1.1440001e+00,-3.20000e-01,
1.1480000e+00,-5.60000e-01,
1.1520001e+00,-5.60000e-01,
1.1560000e+00,-6.00000e-01,
1.1600001e+00,-5.60000e-01,
1.1640000e+00,-5.20000e-01,
1.1680001e+00,-5.60000e-01,
1.1720001e+00,-5.20000e-01,
1.1760000e+00,-5.20000e-01,
1.1800001e+00,-4.80000e-01,
1.1840000e+00,-4.80000e-01,
1.1880001e+00,-5.20000e-01,
1.1920000e+00,-5.20000e-01,
1.1960001e+00,-4.80000e-01,
1.2000000e+00,-4.80000e-01,
1.2040000e+00,-5.20000e-01,
1.2080001e+00,-5.20000e-01,
1.2120000e+00,-4.40000e-01,
1.2160001e+00,-5.20000e-01,
1.2200000e+00,-4.40000e-01,
1.2240001e+00,-4.80000e-01,
1.2280000e+00,-4.40000e-01,
1.2320000e+00,-4.40000e-01,
1.2360001e+00,-5.20000e-01,
1.2400000e+00,-4.80000e-01,
1.2440001e+00,-4.40000e-01,
1.2480000e+00,-4.40000e-01,
1.2520001e+00,-4.80000e-01,
1.2560000e+00,-4.80000e-01,
1.2600001e+00,-4.40000e-01,
1.2640001e+00,-4.80000e-01,
1.2680000e+00,-4.40000e-01,
1.2720001e+00,-4.40000e-01,
1.2760000e+00,-5.20000e-01,
1.2800001e+00,-4.40000e-01,
1.2840000e+00,-5.20000e-01,
1.2880001e+00,-4.80000e-01,
1.2920001e+00,-4.40000e-01,
1.2960000e+00,-4.80000e-01,
1.3000001e+00,-4.40000e-01,
1.3040000e+00,-4.80000e-01,
1.3080001e+00,-4.40000e-01,
1.3120000e+00,-4.80000e-01,
1.3160001e+00,-4.40000e-01,
1.3200001e+00,-4.80000e-01,
1.3240000e+00,-4.40000e-01,
1.3280001e+00,-4.80000e-01,
1.3320000e+00,-4.40000e-01,
1.3360001e+00,-4.80000e-01,
1.3400000e+00,-4.40000e-01,
1.3440001e+00,-4.80000e-01,
1.3480000e+00,-4.40000e-01,
1.3520000e+00,-4.40000e-01,
1.3560001e+00,-4.80000e-01,
